number,value,datetime_start,datetime_complete,duration,params_delta_std,params_discharge_price_factor,params_l0,params_l1,params_l2,params_lr,params_n_delta,params_n_layers,params_n_top,params_spawn_multiplier,params_transformer_max_power,params_zero_policy,user_attrs_yaml_path,state
0,0.17640456186290976,2026-05-25 02:23:05.632402,2026-05-25 02:30:45.148040,0 days 00:07:39.515638,0.018659959624904916,1.0038603981386294,64,256.0,,0.013311216080736894,8,2,9,4,250,False,results_ars_model1/optuna_phase2/trial_0.yaml,COMPLETE
1,-5.978645366994897,2026-05-25 02:30:45.149868,2026-05-25 02:39:33.654039,0 days 00:08:48.504171,0.012476394272569451,1.0132296384213595,512,,,0.0003972110727381913,32,1,8,6,100,False,results_ars_model1/optuna_phase2/trial_1.yaml,COMPLETE
2,-3.460936178778411,2026-05-25 02:39:33.655318,2026-05-25 02:47:54.362481,0 days 00:08:20.707163,0.01947558230629543,0.9899443222417272,256,64.0,512.0,0.021154290797261225,4,3,6,3,300,False,results_ars_model1/optuna_phase2/trial_2.yaml,COMPLETE
3,-3.5371420885178395,2026-05-25 02:47:54.364297,2026-05-25 02:56:55.549876,0 days 00:09:01.185579,0.0338452204120114,1.0316286173968545,512,128.0,,0.00010388823104027947,4,2,6,5,100,False,results_ars_model1/optuna_phase2/trial_3.yaml,COMPLETE
4,0.45316045071581357,2026-05-25 02:56:55.551375,2026-05-25 03:04:07.194447,0 days 00:07:11.643072,0.05362853964441846,0.8755239988953132,512,,,0.0026100256506134765,16,1,26,2,100,True,results_ars_model1/optuna_phase2/trial_4.yaml,COMPLETE
5,-3.607718093436006,2026-05-25 03:04:07.195713,2026-05-25 03:10:32.316080,0 days 00:06:25.120367,0.1538583627271404,1.3652081086148438,256,128.0,,0.0007400385759087378,8,2,29,4,300,False,results_ars_model1/optuna_phase2/trial_5.yaml,COMPLETE
6,8.51729233450169,2026-05-25 03:10:32.317501,2026-05-25 03:16:42.611851,0 days 00:06:10.294350,0.0315281541750961,1.2921132712266246,512,,,0.03821129441691227,8,1,7,4,150,True,results_ars_model1/optuna_phase2/trial_6.yaml,COMPLETE
7,0.295607664924205,2026-05-25 03:16:42.613144,2026-05-25 03:26:11.725059,0 days 00:09:29.111915,0.02243982507529705,1.2434707975326262,64,256.0,256.0,0.000272072480594867,8,3,26,5,200,True,results_ars_model1/optuna_phase2/trial_7.yaml,COMPLETE
8,13.00573990081466,2026-05-25 03:26:11.726862,2026-05-25 03:32:19.368311,0 days 00:06:07.641449,0.01809507378721579,0.8962646609021954,64,,,0.00592487005199432,4,1,22,6,150,True,results_ars_model1/optuna_phase2/trial_8.yaml,COMPLETE
9,8.753509313824452,2026-05-25 03:32:19.370065,2026-05-25 03:38:22.566636,0 days 00:06:03.196571,0.21380932890222198,1.3081689752091674,64,,,0.028292192255361892,4,1,30,3,300,True,results_ars_model1/optuna_phase2/trial_9.yaml,COMPLETE
10,-19.173376354941865,2026-05-25 03:38:22.568250,2026-05-25 03:45:23.563084,0 days 00:07:00.994834,0.011407797829608154,0.8247211629153872,128,,,0.08102356207766637,16,1,18,6,200,True,results_ars_model1/optuna_phase2/trial_10.yaml,COMPLETE
11,0.5112073129841974,2026-05-25 03:45:23.565153,2026-05-25 03:52:18.731513,0 days 00:06:55.166360,0.24802687312489433,1.4398865951376423,64,,,0.007152449298436623,4,1,20,2,150,True,results_ars_model1/optuna_phase2/trial_11.yaml,COMPLETE
12,4.46814230379141,2026-05-25 03:52:18.732587,2026-05-25 03:59:16.746283,0 days 00:06:58.013696,0.07753671257077609,1.164924114076671,64,,,0.004000824788671885,4,1,32,3,250,True,results_ars_model1/optuna_phase2/trial_12.yaml,COMPLETE
13,2.8562793480596156,2026-05-25 03:59:16.747856,2026-05-25 04:06:24.831758,0 days 00:07:08.083902,0.10390916409862815,1.4972118925528495,64,512.0,,0.09163915635149876,4,2,18,5,150,True,results_ars_model1/optuna_phase2/trial_13.yaml,COMPLETE
14,2.294907927383548,2026-05-25 04:06:24.832991,2026-05-25 04:13:52.165307,0 days 00:07:27.332316,0.25084788312407963,1.1732105417263936,128,,,0.01168066231998921,32,1,22,3,250,True,results_ars_model1/optuna_phase2/trial_14.yaml,COMPLETE
15,11.234798475343268,2026-05-25 04:13:52.167738,2026-05-25 04:20:42.202339,0 days 00:06:50.034601,0.05701485261737668,1.3053618363924921,64,512.0,,0.025543653307325206,4,2,13,6,200,True,results_ars_model1/optuna_phase2/trial_15.yaml,COMPLETE
16,12.446141106658615,2026-05-25 04:20:42.203451,2026-05-25 04:30:00.121618,0 days 00:09:17.918167,0.051145565739615775,1.0984426662658657,64,512.0,128.0,0.0032286437621112545,4,3,13,6,200,True,results_ars_model1/optuna_phase2/trial_16.yaml,COMPLETE
17,9.76478209279594,2026-05-25 04:30:00.123238,2026-05-25 04:40:16.899656,0 days 00:10:16.776418,0.03952419420259876,1.1023004501997737,64,512.0,128.0,0.001662881150342824,4,3,14,6,150,True,results_ars_model1/optuna_phase2/trial_17.yaml,COMPLETE
18,2.5151069213557093,2026-05-25 04:40:16.901034,2026-05-25 04:48:42.944580,0 days 00:08:26.043546,0.010512442089330287,0.9236227510033995,256,64.0,128.0,0.005454028640688707,32,3,14,5,150,True,results_ars_model1/optuna_phase2/trial_18.yaml,COMPLETE
19,3.223978404828813,2026-05-25 04:48:42.946284,2026-05-25 04:59:00.852924,0 days 00:10:17.906640,0.025014153171003042,0.9261813768970689,128,512.0,64.0,0.0018105264599144986,16,3,11,6,200,True,results_ars_model1/optuna_phase2/trial_19.yaml,COMPLETE
20,6.346207529945161,2026-05-25 04:59:00.854573,2026-05-25 05:06:57.408718,0 days 00:07:56.554145,0.01564999047755818,1.078083401629348,64,512.0,,0.00717359067173321,4,2,23,5,200,True,results_ars_model1/optuna_phase2/trial_20.yaml,COMPLETE
21,10.752963384205941,2026-05-25 05:06:57.410628,2026-05-25 05:14:59.244402,0 days 00:08:01.833774,0.048134859402966794,1.1962686234567708,64,512.0,,0.0032305269217490365,4,2,14,6,200,True,results_ars_model1/optuna_phase2/trial_21.yaml,COMPLETE
22,-5.0940464431732835,2026-05-25 05:14:59.245336,2026-05-25 05:24:58.885325,0 days 00:09:59.639989,0.0767202755066176,1.1156196552488515,64,512.0,128.0,0.011768828240072639,4,3,11,6,250,True,results_ars_model1/optuna_phase2/trial_22.yaml,COMPLETE
23,20.70296207256615,2026-05-25 05:24:58.886449,2026-05-25 05:32:38.850001,0 days 00:07:39.963552,0.026966629963492056,1.2201110266212944,64,512.0,,0.005535513471566614,4,2,17,6,200,True,results_ars_model1/optuna_phase2/trial_23.yaml,COMPLETE
24,2.974834421617743,2026-05-25 05:32:38.851650,2026-05-25 05:40:47.272942,0 days 00:08:08.421292,0.02573331477153344,0.8125117840333709,64,512.0,64.0,0.001442745438275096,4,3,18,5,150,True,results_ars_model1/optuna_phase2/trial_24.yaml,COMPLETE
25,11.104673814432317,2026-05-25 05:40:47.275143,2026-05-25 05:49:21.280738,0 days 00:08:34.005595,0.015621181778638473,1.0645910614843266,64,128.0,,0.003916407022959693,4,2,16,6,200,True,results_ars_model1/optuna_phase2/trial_25.yaml,COMPLETE
26,3.619136238195722,2026-05-25 05:49:21.283207,2026-05-25 05:57:52.200093,0 days 00:08:30.916886,0.028943388538957178,1.1447695683534393,64,256.0,,0.005304111427396343,4,2,22,5,250,False,results_ars_model1/optuna_phase2/trial_26.yaml,COMPLETE
27,4.361521685721527,2026-05-25 05:57:52.203689,2026-05-25 06:06:33.076510,0 days 00:08:40.872821,0.030666688017034184,1.2198454039027609,128,64.0,256.0,0.0022896904127254858,16,3,20,6,150,True,results_ars_model1/optuna_phase2/trial_27.yaml,COMPLETE
28,0.715373331901219,2026-05-25 06:06:33.079116,2026-05-25 06:17:52.751459,0 days 00:11:19.672343,0.021198077657177322,1.1291262860744042,256,512.0,,0.0011509822331082697,32,2,16,4,200,True,results_ars_model1/optuna_phase2/trial_28.yaml,COMPLETE
29,-5.070441521623252,2026-05-25 06:17:52.754019,2026-05-25 06:26:29.186182,0 days 00:08:36.432163,0.037627900301243536,0.971083371756572,64,512.0,,0.007696413524384255,8,2,4,5,250,False,results_ars_model1/optuna_phase2/trial_29.yaml,COMPLETE
