trial,value,best_so_far,phase
0,1.4551740256702033,1.4551740256702033,Phase1
1,1.6328007676929701,1.6328007676929701,Phase1
2,11.848277932964265,11.848277932964265,Phase1
3,0.40389780070836423,11.848277932964265,Phase1
4,10.627666130385478,11.848277932964265,Phase1
5,-5.153632081062824,11.848277932964265,Phase1
6,7.736723733423787,11.848277932964265,Phase1
7,5.907815002952702,11.848277932964265,Phase1
8,-5.4983356990269385,11.848277932964265,Phase1
9,4.928199523041258,11.848277932964265,Phase1
10,9.522808137400716,11.848277932964265,Phase1
11,10.673802879388859,11.848277932964265,Phase1
12,11.630737410894653,11.848277932964265,Phase1
13,12.60380060521129,12.60380060521129,Phase1
14,3.7409381637116894,12.60380060521129,Phase1
15,14.922102116433507,14.922102116433507,Phase1
16,9.418224701399595,14.922102116433507,Phase1
17,13.963904036153508,14.922102116433507,Phase1
18,1.945443169097416,14.922102116433507,Phase1
19,7.8860594084108016,14.922102116433507,Phase1
20,14.067165086558816,14.922102116433507,Phase1
21,15.767307552729108,15.767307552729108,Phase1
22,14.185794280861955,15.767307552729108,Phase1
23,15.732895537852528,15.767307552729108,Phase1
24,14.036578988756446,15.767307552729108,Phase1
25,-4.222475841437699,15.767307552729108,Phase1
26,12.869887736695546,15.767307552729108,Phase1
27,16.05685819155042,16.05685819155042,Phase1
28,9.980720102292253,16.05685819155042,Phase1
29,28.02458966471022,28.02458966471022,Phase1
