number,value,datetime_start,datetime_complete,duration,params_bs,params_buf,params_ent,params_gamma,params_gs,params_lr,params_lstarts,params_n_layers,params_n_steps,params_pd,params_pi_l0,params_pi_l1,params_pi_l2,params_pi_l3,params_qf_l0,params_qf_l1,params_qf_l2,params_qf_l3,params_qf_lr,params_tf,params_use_sde,state
0,1.4551740256702033,2026-05-24 21:37:40.065620,2026-05-24 22:14:01.356199,0 days 00:36:21.290579,128,100000,0.01,0.99393966818808,4,2.644898018392709e-05,5000,3,5,1,64,128,64.0,,1024,1024,1024.0,,1.4492412389916857e-05,4,False,COMPLETE
1,1.6328007676929701,2026-05-24 22:14:01.357192,2026-05-24 22:42:26.093640,0 days 00:28:24.736448,1024,1000000,auto,0.9307872498498506,4,6.601984958164861e-05,5000,2,3,1,64,256,,,128,512,,,1.436950276899066e-05,4,True,COMPLETE
2,11.848277932964265,2026-05-24 22:42:26.094790,2026-05-24 23:44:34.659465,0 days 01:02:08.564675,256,1000000,0.1,0.9239634718796386,4,0.00016309244205756727,5000,4,5,5,256,512,1024.0,128.0,128,128,512.0,256.0,0.0027642396337073934,1,True,COMPLETE
3,0.40389780070836423,2026-05-24 23:44:34.660645,2026-05-25 00:07:42.978783,0 days 00:23:08.318138,256,500000,0.1,0.9963280449204921,4,4.53877257250326e-05,1000,4,3,5,256,512,512.0,1024.0,512,256,512.0,64.0,4.021535729341343e-05,4,True,COMPLETE
4,10.627666130385478,2026-05-25 00:07:42.979979,2026-05-25 00:24:09.830103,0 days 00:16:26.850124,512,1000000,0.1,0.9643464291469988,4,0.00017470956128610494,5000,2,5,5,128,128,,,64,512,,,0.0009494540587325816,4,False,COMPLETE
5,-5.153632081062824,2026-05-25 00:24:09.831271,2026-05-25 00:58:53.918701,0 days 00:34:44.087430,512,1000000,auto,0.9370866488480206,8,0.0003742863434150556,5000,4,1,3,256,256,1024.0,512.0,128,64,64.0,1024.0,1.2948621180950685e-05,8,False,COMPLETE
6,7.736723733423787,2026-05-25 00:58:53.920159,2026-05-25 01:57:48.495888,0 days 00:58:54.575729,128,500000,0.01,0.9744850784143303,8,6.518413863813437e-05,100,4,5,3,128,128,512.0,512.0,1024,512,1024.0,64.0,0.00046335063414884434,4,True,COMPLETE
7,5.907815002952702,2026-05-25 01:57:48.497331,2026-05-25 02:13:46.852021,0 days 00:15:58.354690,128,500000,0.01,0.9451100185257856,8,0.0022609163158429113,1000,4,5,3,256,64,1024.0,128.0,512,256,64.0,256.0,0.001604321269974687,8,True,COMPLETE
8,-5.4983356990269385,2026-05-25 02:13:46.853317,2026-05-25 02:24:56.350873,0 days 00:11:09.497556,1024,1000000,auto,0.9210834519893821,1,0.0003440186396263576,5000,4,3,1,512,64,256.0,128.0,128,512,256.0,64.0,0.0005547418858562966,8,True,COMPLETE
9,4.928199523041258,2026-05-25 02:24:56.352031,2026-05-25 02:48:37.822466,0 days 00:23:41.470435,512,500000,0.1,0.9621621385595999,4,1.2513561638313206e-05,5000,2,5,5,1024,128,,,128,1024,,,0.0009555127585604457,4,False,COMPLETE
