number,value,datetime_start,datetime_complete,duration,params_bs,params_buf,params_discharge_price_factor,params_ent,params_gamma,params_gs,params_lr,params_lstarts,params_n_layers,params_n_steps,params_pd,params_pi_l0,params_pi_l1,params_pi_l2,params_pi_l3,params_qf_l0,params_qf_l1,params_qf_l2,params_qf_l3,params_qf_lr,params_spawn_multiplier,params_tf,params_transformer_max_power,params_use_sde,user_attrs_yaml_path,state
0,10.913936974335229,2026-05-25 12:53:30.768736,2026-05-25 13:30:24.905629,0 days 00:36:54.136893,128,100000,1.3801162564063505,0.01,0.99393966818808,4,2.644898018392709e-05,5000,3,5,1,64,128,64.0,,1024,1024,1024.0,,1.4492412389916857e-05,3,4,150,False,results_crossq_model1/optuna_phase2/trial_0.yaml,COMPLETE
1,2.852037018761621,2026-05-25 13:30:24.907058,2026-05-25 13:35:40.043015,0 days 00:05:15.135957,128,1000000,1.3625704538293801,auto,0.9631181896641661,1,6.390259853593123e-05,1000,2,1,1,1024,512,,,128,64,,,0.0006416866024982445,6,4,100,True,results_crossq_model1/optuna_phase2/trial_1.yaml,COMPLETE
2,1.7705126658693189,2026-05-25 13:35:40.044246,2026-05-25 13:51:19.761055,0 days 00:15:39.716809,1024,100000,0.8651719374641295,0.1,0.9625982772287643,4,0.0006366198782195172,1000,4,1,1,256,512,64.0,64.0,64,256,128.0,64.0,8.147857317658701e-05,3,8,300,False,results_crossq_model1/optuna_phase2/trial_2.yaml,COMPLETE
3,16.14951491203101,2026-05-25 13:51:19.762283,2026-05-25 14:03:19.561587,0 days 00:11:59.799304,512,500000,1.4141611503495688,0.1,0.9715227594108891,1,0.00016596864474821183,5000,4,3,1,1024,64,64.0,512.0,1024,128,512.0,64.0,3.0453734341095454e-05,4,4,250,True,results_crossq_model1/optuna_phase2/trial_3.yaml,COMPLETE
4,12.89054018787283,2026-05-25 14:03:19.563068,2026-05-25 14:39:16.498454,0 days 00:35:56.935386,1024,100000,1.1319216803611276,0.01,0.9268123928749453,4,6.30960749162859e-05,5000,4,5,3,1024,128,512.0,256.0,256,64,128.0,512.0,0.0009327658220954742,5,4,100,False,results_crossq_model1/optuna_phase2/trial_4.yaml,COMPLETE
5,7.580189925902232,2026-05-25 14:39:16.500668,2026-05-25 15:23:44.749778,0 days 00:44:28.249110,512,100000,1.1536766607135,0.01,0.9676176705682193,8,1.1095264801056951e-05,5000,3,3,1,1024,64,64.0,,256,512,64.0,,1.713746833883939e-05,6,4,300,True,results_crossq_model1/optuna_phase2/trial_5.yaml,COMPLETE
6,6.981629057043543,2026-05-25 15:23:44.751363,2026-05-25 16:10:06.392010,0 days 00:46:21.640647,1024,100000,0.8079475513371934,auto,0.9878827140930717,1,0.0002297469076027632,5000,2,3,5,512,256,,,1024,64,,,0.00012408651559764496,4,1,200,True,results_crossq_model1/optuna_phase2/trial_6.yaml,COMPLETE
7,30.302459746948443,2026-05-25 16:10:06.393486,2026-05-25 16:20:22.953300,0 days 00:10:16.559814,1024,1000000,1.229390637155053,0.01,0.9688791202094771,4,0.00019759538091457916,100,2,5,3,512,64,,,256,128,,,0.0003623237013041106,5,8,200,True,results_crossq_model1/optuna_phase2/trial_7.yaml,COMPLETE
8,10.778283500509133,2026-05-25 16:20:22.954405,2026-05-25 16:37:44.609610,0 days 00:17:21.655205,512,100000,1.243380598021708,auto,0.9399448037550273,8,0.0002451948656502821,5000,4,3,5,64,64,64.0,512.0,256,256,64.0,512.0,0.0014844899855628135,3,8,150,True,results_crossq_model1/optuna_phase2/trial_8.yaml,COMPLETE
9,6.403679689101409,2026-05-25 16:37:44.610846,2026-05-25 16:50:55.470400,0 days 00:13:10.859554,256,500000,0.9884702616645666,0.01,0.9683490880343072,4,7.986207964939334e-05,1000,2,5,3,1024,256,,,1024,512,,,0.00017661420128873266,3,8,150,False,results_crossq_model1/optuna_phase2/trial_9.yaml,COMPLETE
