episode,exec_time_s,reward_total,total_profit_cost,user_satisfaction,energy_charged_kwh,energy_discharged_kwh,transformer_overload_kwh,battery_degradation,battery_deg_calendar,battery_deg_cyclic,total_ev_served,seed,phase
0,2.292,-9.745710175484419,13.842790117663158,0.4898571428571428,142.03163072782485,227.8642029202602,0.0,0.0007113705876140711,5.559428550299543e-05,0.0006557763021110757,4.0,42,Proxy_M2
1,2.287,-16.418823290616274,12.62313429101793,0.305952380952381,74.07627645896463,185.18787096823806,0.0,0.0004997186964300748,4.842735987294853e-05,0.00045129133655712623,4.0,42,Proxy_M2
2,2.21,8.308499366044998,32.883231996366945,0.29285714285714287,72.96147316262557,179.20999999999998,0.0,0.0004948943979938826,3.3248057680877365e-05,0.0004616463403130052,3.0,42,Proxy_M2
3,2.266,24.359214514493942,71.33469219999999,0.3243428571428571,44.0,222.39,0.0,0.0005233133541560261,5.822073465880792e-05,0.00046509261949721824,5.0,42,Proxy_M2
4,2.202,17.163744300603867,64.12833241681915,0.5165102040816327,137.3020397694393,257.9841030463889,0.0,0.0007553862650895543,9.858367973062059e-05,0.0006568025853589338,7.0,42,Proxy_M2
5,2.221,14.276583048980683,27.46561508695396,0.5903428571428572,149.76417010427147,242.90593030030482,0.0,0.0007578562926688941,7.144426328721447e-05,0.0006864120293816796,5.0,42,Proxy_M2
6,2.216,14.644544731359929,38.16072649975641,0.5482857142857143,96.26401916194993,165.77993526054982,0.0,0.0005099502090873029,5.6574001952690875e-05,0.000453376207134612,4.0,42,Proxy_M2
7,2.237,-8.7629946321249,3.0037290010064077,0.6748571428571428,120.87804345344082,154.12196089705233,0.0,0.0005305776387385817,4.238706964236284e-05,0.00048819056909621893,3.0,42,Proxy_M2
8,2.208,-22.569960911758244,6.753765416940727,0.5416904761904763,151.42740781876947,240.87754713017074,0.0,0.0006971349166362346,8.013259094843947e-05,0.0006170023256877949,6.0,42,Proxy_M2
9,2.236,-10.499155920464545,15.637948752267366,0.4813714285714285,107.81345863929006,213.30345284952682,0.0,0.0005760453454185827,6.191057962470794e-05,0.0005141347657938748,5.0,42,Proxy_M2
10,2.221,-7.713125430047512,4.039022217662568,0.5324285714285714,55.358762676824064,92.99300891114214,0.0,0.0002830137503939927,2.7946731044461118e-05,0.00025506701934953157,2.0,42,Proxy_M2
11,2.267,-20.927596505731344,5.208445744204601,0.48260000000000003,193.88760004709764,277.68538278441304,0.0,0.0008775630163094202,6.894003112503693e-05,0.0008086229851843832,5.0,42,Proxy_M2
12,2.263,-6.3643085998483,57.88130469879149,0.3371428571428572,86.0304474597728,306.10126357035364,0.0,0.000794954342900359,8.667287291634926e-05,0.0007082814699840098,7.0,42,Proxy_M2
13,2.241,-12.761029073502868,-1.0154927076232205,0.8035714285714286,60.34133486792292,55.07,0.0,0.00024200459540388102,7.940297225922225e-05,0.00016260162314465877,4.0,42,Proxy_M2
14,2.276,-1.0362523412331939,13.703463725770344,0.6116571428571429,132.0146751978279,222.5890074615933,0.0,0.0005523316963026134,5.274826819763958e-05,0.0004995834281049737,5.0,42,Proxy_M2
15,2.262,-24.007006481289864,4.819217320111573,0.6156666666666667,196.32673501627977,269.46690707356504,0.0,0.0008920322301687427,8.660650355807278e-05,0.00080542572661067,6.0,42,Proxy_M2
16,2.258,-20.284135743044317,-0.17529141043242463,0.4670357142857143,52.851948069858814,144.95,0.0,0.0004161161436347702,5.9573850107041436e-05,0.00035654229352772876,4.0,42,Proxy_M2
