trial,value,best_so_far,phase
0,6.498000914678414,6.498000914678414,Phase2
1,-9.69804202094383,6.498000914678414,Phase2
2,15.070445167570142,15.070445167570142,Phase2
3,67.51203534917727,67.51203534917727,Phase2
4,10.025390016642632,67.51203534917727,Phase2
5,-14.537803197803441,67.51203534917727,Phase2
6,0.5460772477090359,67.51203534917727,Phase2
7,-3.128782730709645,67.51203534917727,Phase2
8,13.535141925909556,67.51203534917727,Phase2
9,-4.163981055578915,67.51203534917727,Phase2
10,23.47383505871403,67.51203534917727,Phase2
11,18.517442282070988,67.51203534917727,Phase2
12,18.68902050986071,67.51203534917727,Phase2
13,12.510642155892128,67.51203534917727,Phase2
14,27.361480650200974,67.51203534917727,Phase2
15,55.39336464635733,67.51203534917727,Phase2
16,10.34329107493977,67.51203534917727,Phase2
17,61.56861211524574,67.51203534917727,Phase2
18,-1.9396429175976664,67.51203534917727,Phase2
19,-0.7943404879188165,67.51203534917727,Phase2
20,11.225263187250675,67.51203534917727,Phase2
21,54.48282509515957,67.51203534917727,Phase2
22,50.21679046904319,67.51203534917727,Phase2
23,32.13793023471953,67.51203534917727,Phase2
24,53.28315751748596,67.51203534917727,Phase2
25,2.5637542562326416,67.51203534917727,Phase2
26,49.841529279588485,67.51203534917727,Phase2
27,21.968043997148925,67.51203534917727,Phase2
28,18.07470364496112,67.51203534917727,Phase2
29,1.00750583660556,67.51203534917727,Phase2
