number,value,datetime_start,datetime_complete,duration,params_bs,params_buf,params_discharge_price_factor,params_gamma,params_gs,params_lr,params_lstarts,params_n_layers,params_noise_sigma,params_noise_type,params_pi_l0,params_pi_l1,params_pi_l2,params_pi_l3,params_qf_l0,params_qf_l1,params_qf_l2,params_qf_l3,params_spawn_multiplier,params_tau,params_tf,params_transformer_max_power,user_attrs_yaml_path,state
0,6.498000914678414,2026-05-25 13:56:09.147081,2026-05-25 14:27:38.047140,0 days 00:31:28.900059,128,100000,1.2185299851677596,0.9064401077055427,4,2.644898018392709e-05,10000,3,0.4727745237038851,normal,64,128,64.0,,1024,1024,1024.0,,6,0.04093813608598782,4,300,results_ddpg_model1/optuna_phase2/trial_0.yaml,COMPLETE
1,-9.69804202094383,2026-05-25 14:27:38.049515,2026-05-25 14:59:01.537972,0 days 00:31:23.488457,128,1000000,0.822000429980714,0.935488107125883,4,1.5255188579331379e-05,5000,2,0.061438607034842836,normal,512,64,,,256,128,,,2,0.0015734685129393676,8,250,results_ddpg_model1/optuna_phase2/trial_1.yaml,COMPLETE
2,15.070445167570142,2026-05-25 14:59:01.539913,2026-05-25 15:33:32.075541,0 days 00:34:30.535628,256,100000,1.2266950337859277,0.9225655810916522,1,1.8733199637488447e-05,5000,2,0.17817822246986043,normal,128,1024,,,256,512,,,2,0.0053167142741246025,4,200,results_ddpg_model1/optuna_phase2/trial_2.yaml,COMPLETE
3,67.51203534917727,2026-05-25 15:33:32.077308,2026-05-25 16:09:41.090032,0 days 00:36:09.012724,512,1000000,1.4302926400143314,0.9670788718223859,4,0.00029087973697480173,5000,2,0.09189624551265466,normal,128,64,,,64,128,,,6,0.001067043743688687,1,250,results_ddpg_model1/optuna_phase2/trial_3.yaml,COMPLETE
4,10.025390016642632,2026-05-25 16:09:41.091928,2026-05-25 16:48:47.679216,0 days 00:39:06.587288,128,100000,1.474533983962477,0.9963280449204921,1,4.021535729341343e-05,1000,3,0.24268286674279144,ou,256,512,256.0,,1024,1024,64.0,,6,0.004654373626005677,8,300,results_ddpg_model1/optuna_phase2/trial_4.yaml,COMPLETE
5,-14.537803197803441,2026-05-25 16:48:47.681128,2026-05-25 17:17:46.010328,0 days 00:28:58.329200,512,1000000,0.8889423588563194,0.9858401595394303,8,0.001015661776986701,5000,2,0.42017025229684624,ou,128,64,,,64,1024,,,3,0.03560969923212882,1,200,results_ddpg_model1/optuna_phase2/trial_5.yaml,COMPLETE
6,0.5460772477090359,2026-05-25 17:17:46.012500,2026-05-25 17:47:47.642921,0 days 00:30:01.630421,128,1000000,1.0717189483445653,0.9469432090796452,8,0.0005534085180686906,10000,4,0.4731036086412309,ou,128,512,128.0,128.0,1024,256,1024.0,1024.0,4,0.0014662813285223888,4,250,results_ddpg_model1/optuna_phase2/trial_6.yaml,COMPLETE
7,-3.128782730709645,2026-05-25 17:47:47.645061,2026-05-25 18:13:49.233586,0 days 00:26:01.588525,128,500000,1.0052475401886452,0.9337395504850488,8,0.0008380482962434941,10000,3,0.33432674547640967,normal,512,64,512.0,,64,64,256.0,,4,0.038135441400524966,8,150,results_ddpg_model1/optuna_phase2/trial_7.yaml,COMPLETE
8,13.535141925909556,2026-05-25 18:13:49.237172,2026-05-25 18:43:06.888587,0 days 00:29:17.651415,512,500000,1.1181787453374412,0.9116350984309334,1,1.969365773412287e-05,10000,4,0.33322938716086814,normal,128,512,256.0,512.0,256,256,1024.0,128.0,5,0.012676192618484725,4,250,results_ddpg_model1/optuna_phase2/trial_8.yaml,COMPLETE
9,-4.163981055578915,2026-05-25 18:43:06.889925,2026-05-25 19:15:16.748353,0 days 00:32:09.858428,128,100000,1.1153808947170654,0.9372698733209269,1,1.162289174829428e-05,1000,3,0.43234132580483514,ou,512,128,1024.0,,512,512,256.0,,3,0.02382899882822886,4,100,results_ddpg_model1/optuna_phase2/trial_9.yaml,COMPLETE
