trial,value,best_so_far,phase
0,-9.648537793080322,-9.648537793080322,Phase1
1,-1.731208518508538,-1.731208518508538,Phase1
2,-5.109480171891164,-1.731208518508538,Phase1
3,-4.261999287002254,-1.731208518508538,Phase1
4,-8.558271262896596,-1.731208518508538,Phase1
5,-7.048553387088759,-1.731208518508538,Phase1
6,-7.048492604597413,-1.731208518508538,Phase1
7,-1.1374726833273598,-1.1374726833273598,Phase1
8,-11.34654637391941,-1.1374726833273598,Phase1
9,-11.364825686677364,-1.1374726833273598,Phase1
10,-2.3699148502864773,-1.1374726833273598,Phase1
11,-4.579870470281094,-1.1374726833273598,Phase1
12,-15.809320136380848,-1.1374726833273598,Phase1
13,-2.5316072422477878,-1.1374726833273598,Phase1
14,-5.202741699395119,-1.1374726833273598,Phase1
15,11.259032200207002,11.259032200207002,Phase1
16,3.439376966905911,11.259032200207002,Phase1
17,7.143735020985332,11.259032200207002,Phase1
18,10.11272426668438,11.259032200207002,Phase1
19,-13.744756772248364,11.259032200207002,Phase1
20,8.24657581280917,11.259032200207002,Phase1
21,-10.61685813386248,11.259032200207002,Phase1
22,6.74406874232227,11.259032200207002,Phase1
23,-8.901173611038303,11.259032200207002,Phase1
24,-10.510671988849936,11.259032200207002,Phase1
25,-6.211178519699296,11.259032200207002,Phase1
26,-13.243467053041968,11.259032200207002,Phase1
27,-3.884997631554143,11.259032200207002,Phase1
28,6.478629586839816,11.259032200207002,Phase1
29,-6.529728018940659,11.259032200207002,Phase1
0,-4.708461642796465,-4.708461642796465,Phase2
1,20.57521339778032,20.57521339778032,Phase2
2,7.081613194779493,20.57521339778032,Phase2
3,10.475045413826592,20.57521339778032,Phase2
4,-3.289614637673367,20.57521339778032,Phase2
5,0.3407450654995045,20.57521339778032,Phase2
6,-12.957121821469627,20.57521339778032,Phase2
7,-9.062368282058742,20.57521339778032,Phase2
8,-14.1966539890891,20.57521339778032,Phase2
9,-9.944376015773742,20.57521339778032,Phase2
10,-2.9121522664790973,20.57521339778032,Phase2
11,10.190781290994323,20.57521339778032,Phase2
12,23.59174390899716,23.59174390899716,Phase2
13,-0.239770740889071,23.59174390899716,Phase2
14,15.110119361575926,23.59174390899716,Phase2
15,12.954809071030468,23.59174390899716,Phase2
16,4.496016467865502,23.59174390899716,Phase2
17,24.665412268135697,24.665412268135697,Phase2
18,37.44207661447581,37.44207661447581,Phase2
19,0.2061544319149106,37.44207661447581,Phase2
20,41.87615410727449,41.87615410727449,Phase2
21,36.920690089755226,41.87615410727449,Phase2
22,27.63484133942984,41.87615410727449,Phase2
23,25.82180623957538,41.87615410727449,Phase2
24,-6.917549991613669,41.87615410727449,Phase2
25,59.96903367914638,59.96903367914638,Phase2
26,10.531239451287547,59.96903367914638,Phase2
27,30.522868657839357,59.96903367914638,Phase2
28,21.78394620618019,59.96903367914638,Phase2
29,10.922899698884066,59.96903367914638,Phase2
