number,value,datetime_start,datetime_complete,duration,params_bs,params_clip_range,params_ent_coef,params_gae_lambda,params_gamma,params_lr,params_max_grad_norm,params_n_epochs,params_n_layers,params_n_steps,params_pi_l0,params_pi_l1,params_pi_l2,params_pi_l3,params_use_sde,params_vf_coef,params_vf_l0,params_vf_l1,params_vf_l2,params_vf_l3,state
0,-9.648537793080322,2026-05-24 21:38:30.566737,2026-05-24 21:53:59.354744,0 days 00:15:28.788007,1024,0.19138413075201122,0.004883605700319194,0.9800313374635297,0.9197677044336776,0.0008810003129071785,0.6081067456177209,20,3,1024,64,256,256.0,,False,0.7789631185585097,512,512,512.0,,COMPLETE
1,-1.731208518508538,2026-05-24 21:53:59.358403,2026-05-24 22:08:40.672772,0 days 00:14:41.314369,1024,0.33167343078899725,0.009935784076708622,0.9977018067234512,0.9384790516792587,6.395620370993665e-05,0.8708229999183839,4,2,1024,64,512,,,False,0.3038654819865217,128,64,,,COMPLETE
2,-5.109480171891164,2026-05-24 22:08:40.679209,2026-05-24 22:24:40.491205,0 days 00:15:59.811996,256,0.3422320465492188,0.04480456499617466,0.9533948819496494,0.928685393838463,1.5512742044130125e-05,0.37703634716937373,19,4,1024,512,64,512.0,512.0,False,0.5226024324803047,128,64,512.0,256.0,COMPLETE
3,-4.261999287002254,2026-05-24 22:24:40.494860,2026-05-24 22:36:53.440367,0 days 00:12:12.945507,256,0.30326930855268475,0.0008293914463928077,0.9584984013756359,0.936410530139206,0.0006366198782195172,0.45854704263855656,3,4,1024,64,512,256.0,64.0,True,0.6584651408094966,512,512,512.0,256.0,COMPLETE
4,-8.558271262896596,2026-05-24 22:36:53.443622,2026-05-24 22:49:17.411960,0 days 00:12:23.968338,1024,0.29728386769010307,0.028415430166773583,0.9840731176389236,0.954324645147292,2.50230960015543e-05,0.5574010621416035,14,4,512,128,128,128.0,512.0,True,0.3655723374796647,512,64,256.0,256.0,COMPLETE
5,-7.048553387088759,2026-05-24 22:49:17.413388,2026-05-24 23:03:53.946252,0 days 00:14:36.532864,128,0.3428083466435541,0.04050566973395904,0.9290655925821849,0.9608857154432178,1.7406760671787802e-05,0.93926838678953,9,4,512,128,128,64.0,256.0,True,0.9069506230060724,256,64,128.0,128.0,COMPLETE
6,-7.0484926045974134,2026-05-24 23:03:53.948037,2026-05-24 23:17:52.995147,0 days 00:13:59.047110,128,0.26476799941183615,0.03572979613500312,0.9247740469182949,0.9434581706498579,4.6868853076061207e-05,0.49595372786215997,5,4,2048,512,512,256.0,512.0,True,0.7621381637024118,512,128,512.0,64.0,COMPLETE
7,-1.1374726833273598,2026-05-24 23:17:52.996194,2026-05-24 23:29:21.998939,0 days 00:11:29.002745,512,0.23747586714745503,0.02728083946579675,0.963685533625793,0.9652106695302756,0.0013232112665873855,0.570271846460542,9,3,2048,64,64,128.0,,True,0.9590253661435675,128,512,256.0,,COMPLETE
8,-11.34654637391941,2026-05-24 23:29:22.002154,2026-05-24 23:40:10.060320,0 days 00:10:48.058166,128,0.35752382555290363,0.02144970136875092,0.9921449752347529,0.9279214226845593,0.0009779568441679821,0.8281800118592777,9,2,2048,128,512,,,False,0.825609747454048,128,256,,,COMPLETE
9,-11.364825686677364,2026-05-24 23:40:10.062854,2026-05-24 23:49:28.813675,0 days 00:09:18.750821,1024,0.3118726681469489,0.004067439032094988,0.9813641458697453,0.9347405862426558,0.0015810692747407265,0.9906477049508227,4,3,2048,256,128,128.0,,True,0.35938639985963433,512,128,256.0,,COMPLETE
10,-2.3699148502864773,2026-05-24 23:49:28.815557,2026-05-24 23:59:27.665145,0 days 00:09:58.849588,512,0.13788407398538727,0.04911598742738239,0.9122325166717626,0.9872358695771377,0.0026152081166177813,0.7063979514430601,14,3,2048,256,64,128.0,,True,0.9581639447660232,64,512,64.0,,COMPLETE
