trial,value,best_so_far,phase
0,-4.708461642796465,-4.708461642796465,Phase2
1,20.575213397780317,20.575213397780317,Phase2
2,7.081613194779493,20.575213397780317,Phase2
3,10.475045413826592,20.575213397780317,Phase2
4,-3.289614637673367,20.575213397780317,Phase2
5,0.34074506549950456,20.575213397780317,Phase2
6,-12.957121821469627,20.575213397780317,Phase2
7,-9.062368282058742,20.575213397780317,Phase2
8,-14.1966539890891,20.575213397780317,Phase2
9,-9.944376015773742,20.575213397780317,Phase2
10,-2.9121522664790973,20.575213397780317,Phase2
11,10.190781290994323,20.575213397780317,Phase2
12,23.59174390899716,23.59174390899716,Phase2
13,-0.23977074088907102,23.59174390899716,Phase2
14,15.110119361575926,23.59174390899716,Phase2
15,12.954809071030468,23.59174390899716,Phase2
16,4.496016467865502,23.59174390899716,Phase2
17,24.665412268135697,24.665412268135697,Phase2
18,37.44207661447581,37.44207661447581,Phase2
19,0.20615443191491067,37.44207661447581,Phase2
20,41.87615410727449,41.87615410727449,Phase2
21,36.920690089755226,41.87615410727449,Phase2
22,27.63484133942984,41.87615410727449,Phase2
23,25.82180623957538,41.87615410727449,Phase2
24,-6.917549991613669,41.87615410727449,Phase2
25,59.96903367914638,59.96903367914638,Phase2
26,10.531239451287547,59.96903367914638,Phase2
27,30.522868657839354,59.96903367914638,Phase2
28,21.78394620618019,59.96903367914638,Phase2
29,10.922899698884066,59.96903367914638,Phase2
