number,value,datetime_start,datetime_complete,duration,params_bs,params_clip_range,params_discharge_price_factor,params_ent_coef,params_gae_lambda,params_gamma,params_lr,params_max_grad_norm,params_n_epochs,params_n_layers,params_n_steps,params_pi_l0,params_pi_l1,params_pi_l2,params_pi_l3,params_spawn_multiplier,params_transformer_max_power,params_use_sde,params_vf_coef,params_vf_l0,params_vf_l1,params_vf_l2,params_vf_l3,user_attrs_yaml_path,state
0,-4.708461642796465,2026-05-25 03:03:52.294518,2026-05-25 03:13:09.803036,0 days 00:09:17.508518,1024,0.19138413075201122,1.4365242814551475,0.004883605700319194,0.9800313374635297,0.9197677044336776,0.0008810003129071785,0.6081067456177209,20,3,1024,64,256,256.0,,2,150,False,0.7789631185585097,512,512,512.0,,results_ppo_model1/optuna_phase2/trial_0.yaml,COMPLETE
1,20.575213397780317,2026-05-25 03:13:09.805699,2026-05-25 03:22:58.666973,0 days 00:09:48.861274,256,0.2869894380482674,1.4210489198034286,0.01654490124263246,0.9854472391616838,0.9196728524718831,0.0008183591298101358,0.5176876252009635,5,3,1024,256,64,128.0,,5,200,False,0.34449084520021656,256,64,512.0,,results_ppo_model1/optuna_phase2/trial_1.yaml,COMPLETE
2,7.081613194779493,2026-05-25 03:22:58.669181,2026-05-25 03:36:01.103220,0 days 00:13:02.434039,128,0.3677676995469934,1.0989754520383794,0.026967112095782536,0.9184704358297175,0.9226510183836707,0.0007440322909623878,0.9272639099464453,17,2,1024,512,128,,,3,300,True,0.8652081086148438,256,128,,,results_ppo_model1/optuna_phase2/trial_2.yaml,COMPLETE
3,10.475045413826592,2026-05-25 03:36:01.105018,2026-05-25 03:49:07.946974,0 days 00:13:06.841956,128,0.10497634867835685,1.4557109921157143,0.02560465291496405,0.9670788718223859,0.9625982772287643,8.147857317658701e-05,0.7516209532866149,13,4,512,128,256,512.0,64.0,3,100,False,0.45854704263855656,256,256,256.0,128.0,results_ppo_model1/optuna_phase2/trial_3.yaml,COMPLETE
4,-3.289614637673367,2026-05-25 03:49:07.949119,2026-05-25 04:01:05.772351,0 days 00:11:57.823232,256,0.19761990944778035,1.0574010621416035,0.03732457025590121,0.9234876596621833,0.9100456827437372,1.0538582799512649e-05,0.8944563873459246,15,3,512,128,128,512.0,,2,150,True,0.7547430293330502,512,64,256.0,,results_ppo_model1/optuna_phase2/trial_4.yaml,COMPLETE
5,0.34074506549950456,2026-05-25 04:01:05.774234,2026-05-25 04:12:53.032804,0 days 00:11:47.258570,128,0.19507660154688333,1.2305050586894188,0.008474637334304624,0.9842625304801689,0.9366457113252891,0.0018459928994811216,0.9553083419125465,9,2,1024,64,64,,,2,300,True,0.6897608837208451,128,512,,,results_ppo_model1/optuna_phase2/trial_5.yaml,COMPLETE
6,-12.957121821469627,2026-05-25 04:12:53.035232,2026-05-25 04:25:26.012327,0 days 00:12:32.977095,128,0.10915007498171483,0.9510747192477902,0.0018674094374607209,0.9584924927963321,0.9881105288399391,0.0009359980324420481,0.552133448987884,8,2,1024,128,512,,,5,250,False,0.8758203924617607,256,128,,,results_ppo_model1/optuna_phase2/trial_6.yaml,COMPLETE
7,-9.062368282058742,2026-05-25 04:25:26.013602,2026-05-25 04:37:24.596040,0 days 00:11:58.582438,1024,0.28351622387030573,0.832201849415227,0.020980003121389496,0.9548810511986286,0.9171561376870138,0.00010304478816852326,0.5491808750558831,16,2,2048,512,128,,,2,100,True,0.4734116926508102,64,128,,,results_ppo_model1/optuna_phase2/trial_7.yaml,COMPLETE
8,-14.1966539890891,2026-05-25 04:37:24.598873,2026-05-25 04:50:38.998732,0 days 00:13:14.399859,512,0.13544944828649688,0.924207680645806,0.03483685826820753,0.9279036227025667,0.9099770221363652,1.4853074269608514e-05,0.9142304094689371,17,4,2048,64,64,128.0,256.0,3,250,False,0.7402599927459188,256,128,512.0,128.0,results_ppo_model1/optuna_phase2/trial_8.yaml,COMPLETE
9,-9.944376015773742,2026-05-25 04:50:39.001698,2026-05-25 05:07:37.050363,0 days 00:16:58.048665,128,0.13033680283683707,0.8593863998596344,0.004205340305749872,0.9612035882683099,0.9489476101655556,1.6823973531569532e-05,0.35093410445493545,16,4,1024,64,128,512.0,512.0,2,300,True,0.790678392021384,256,256,64.0,256.0,results_ppo_model1/optuna_phase2/trial_9.yaml,COMPLETE
