trial,value,best_so_far,phase
0,5.549869250971824,5.549869250971824,Phase1
1,-5.109400186120183,5.549869250971824,Phase1
2,9.291798343554548,9.291798343554548,Phase1
3,7.745331464742776,9.291798343554548,Phase1
4,13.884794482786674,13.884794482786674,Phase1
5,-6.51213470264338,13.884794482786674,Phase1
6,2.8019388819484448,13.884794482786674,Phase1
7,-0.7204087156906667,13.884794482786674,Phase1
8,8.923102694330737,13.884794482786674,Phase1
9,12.910900528542696,13.884794482786674,Phase1
10,1.5475586057946202,13.884794482786674,Phase1
11,14.89555621589534,14.89555621589534,Phase1
12,3.524204269785514,14.89555621589534,Phase1
13,11.875384897106414,14.89555621589534,Phase1
14,-8.922746237367392,14.89555621589534,Phase1
15,19.55417197028873,19.55417197028873,Phase1
16,5.19570934845251,19.55417197028873,Phase1
17,19.510963574866764,19.55417197028873,Phase1
18,11.238238571910188,19.55417197028873,Phase1
19,16.967685983981937,19.55417197028873,Phase1
20,20.494829317671247,20.494829317671247,Phase1
21,21.19226886882097,21.19226886882097,Phase1
22,20.08522661004099,21.19226886882097,Phase1
23,20.280981693184003,21.19226886882097,Phase1
24,22.972073993470985,22.972073993470985,Phase1
25,8.686728210966976,22.972073993470985,Phase1
26,9.840532138943672,22.972073993470985,Phase1
27,4.018845890241209,22.972073993470985,Phase1
28,3.073803955929179,22.972073993470985,Phase1
29,7.734502361762679,22.972073993470985,Phase1
0,5.356593179356423,5.356593179356423,Phase2
1,22.41958949391937,22.41958949391937,Phase2
2,2.065361594351998,22.41958949391937,Phase2
3,3.687581430305727,22.41958949391937,Phase2
4,1.512145642118412,22.41958949391937,Phase2
5,20.468776041976525,22.41958949391937,Phase2
6,11.432568346353946,22.41958949391937,Phase2
7,3.458859073856729,22.41958949391937,Phase2
8,-5.508439070501481,22.41958949391937,Phase2
9,4.241689076647162,22.41958949391937,Phase2
10,-10.649685808821232,22.41958949391937,Phase2
11,17.965167290883983,22.41958949391937,Phase2
12,57.66480044348282,57.66480044348282,Phase2
13,32.44767974719616,57.66480044348282,Phase2
14,1.8139123893924989,57.66480044348282,Phase2
15,32.44534532955731,57.66480044348282,Phase2
16,35.22830996061384,57.66480044348282,Phase2
17,14.43638087665022,57.66480044348282,Phase2
18,25.436188901076093,57.66480044348282,Phase2
19,24.975643121342728,57.66480044348282,Phase2
20,30.040468343446264,57.66480044348282,Phase2
21,32.222489502320514,57.66480044348282,Phase2
22,37.51813114183369,57.66480044348282,Phase2
23,11.724001866972683,57.66480044348282,Phase2
24,31.82193413179993,57.66480044348282,Phase2
25,38.79072265667128,57.66480044348282,Phase2
26,23.372076735679,57.66480044348282,Phase2
27,14.87835929141147,57.66480044348282,Phase2
28,18.57518106966745,57.66480044348282,Phase2
29,35.1941942492449,57.66480044348282,Phase2
