number,value,datetime_start,datetime_complete,duration,params_bs,params_buf,params_ent,params_gamma,params_gs,params_lr,params_lstarts,params_n_layers,params_n_steps,params_pi_l0,params_pi_l1,params_pi_l2,params_pi_l3,params_qf_l0,params_qf_l1,params_qf_l2,params_qf_l3,params_tau,params_tf,params_tui,params_use_sde,state
0,5.549869250971824,2026-05-24 21:38:39.249304,2026-05-24 22:48:40.175404,0 days 01:10:00.926100,128,100000,auto,0.9064401077055427,4,2.644898018392709e-05,10000,3,10,64,128,64.0,,1024,1024,1024.0,,0.04093813608598782,4,2,True,COMPLETE
1,-5.109400186120183,2026-05-24 22:48:40.176771,2026-05-24 23:43:51.428233,0 days 00:55:11.251462,128,100000,0.01,0.9488857640400747,8,0.0008124173472387218,1000,3,10,512,64,256.0,,128,1024,512.0,,0.0077287168618517844,1,2,False,COMPLETE
2,9.291798343554547,2026-05-24 23:43:51.431942,2026-05-25 00:32:59.468058,0 days 00:49:08.036116,128,1000000,auto,0.9040367390139217,1,2.8975368407468512e-05,5000,4,5,64,256,256.0,1024.0,512,256,64.0,512.0,0.010090423315981844,8,4,True,COMPLETE
3,7.745331464742776,2026-05-25 00:32:59.470303,2026-05-25 01:16:09.978761,0 days 00:43:10.508458,512,100000,0.01,0.9944389291232562,1,0.002136141161126524,10000,4,10,512,256,1024.0,1024.0,64,128,64.0,64.0,0.03583662952414403,8,2,False,COMPLETE
4,13.884794482786674,2026-05-25 01:16:09.980775,2026-05-25 02:04:52.631435,0 days 00:48:42.650660,128,500000,0.1,0.9827620319307084,8,0.002424358542659744,5000,4,1,64,256,128.0,1024.0,512,64,256.0,64.0,0.015220863805013191,4,1,False,COMPLETE
5,-6.51213470264338,2026-05-25 02:04:52.632847,2026-05-25 02:46:26.714793,0 days 00:41:34.081946,512,100000,auto,0.9023039216378468,4,0.0012383932905352317,10000,3,3,64,64,256.0,,512,64,256.0,,0.024196776966344636,4,4,False,COMPLETE
6,2.8019388819484448,2026-05-25 02:46:26.718623,2026-05-25 03:33:45.503871,0 days 00:47:18.785248,256,500000,0.001,0.9769375446768163,8,1.6100575513330655e-05,10000,4,3,512,1024,128.0,512.0,256,512,256.0,256.0,0.008886117889403277,8,2,True,COMPLETE
7,-0.7204087156906667,2026-05-25 03:33:45.507082,2026-05-25 04:28:03.885259,0 days 00:54:18.378177,128,1000000,0.01,0.9833697733904352,8,0.0025269437237744057,1000,4,3,512,128,1024.0,256.0,1024,128,64.0,128.0,0.0265641132495407,1,4,False,COMPLETE
8,8.923102694330737,2026-05-25 04:28:03.888797,2026-05-25 05:31:57.030151,0 days 01:03:53.141354,1024,100000,0.1,0.9660882161135818,1,0.00014930022183601405,1000,4,3,512,64,512.0,1024.0,64,128,64.0,1024.0,0.0019623040144383023,4,1,False,COMPLETE
9,12.910900528542697,2026-05-25 05:31:57.033815,2026-05-25 06:30:22.611490,0 days 00:58:25.577675,128,100000,0.1,0.9282244217006909,1,2.8983387329173143e-05,1000,4,3,512,512,128.0,256.0,64,64,512.0,512.0,0.0019704097052343802,8,2,False,COMPLETE
