number,value,datetime_start,datetime_complete,duration,params_bs,params_buf,params_discharge_price_factor,params_ent,params_gamma,params_gs,params_lr,params_lstarts,params_n_layers,params_n_steps,params_pi_l0,params_pi_l1,params_pi_l2,params_pi_l3,params_qf_l0,params_qf_l1,params_qf_l2,params_qf_l3,params_spawn_multiplier,params_tau,params_tf,params_transformer_max_power,params_tui,params_use_sde,user_attrs_yaml_path,state
0,5.356593179356423,2026-05-25 23:52:48.540443,2026-05-26 01:00:11.616462,0 days 01:07:23.076019,128,100000,0.9966541567811665,auto,0.9064401077055427,4,2.644898018392709e-05,10000,3,10,64,128,64.0,,1024,1024,1024.0,,3,0.04093813608598782,4,200,2,True,results_sac_model1/optuna_phase2/trial_0.yaml,COMPLETE
1,22.419589493919375,2026-05-26 01:00:11.618600,2026-05-26 01:54:28.082394,0 days 00:54:16.463794,512,100000,1.3652081086148438,0.1,0.9878340615150564,4,0.00037958335792652855,1000,2,10,256,128,,,512,1024,,,4,0.006342770438858343,4,300,4,True,results_sac_model1/optuna_phase2/trial_1.yaml,COMPLETE
2,2.065361594351998,2026-05-26 01:54:28.084723,2026-05-26 02:37:21.701143,0 days 00:42:53.616420,128,100000,1.2836564166717261,0.001,0.9281992089433693,1,5.5630383817388924e-05,5000,2,10,1024,128,,,128,128,,,2,0.0011552336139147126,4,150,1,False,results_sac_model1/optuna_phase2/trial_2.yaml,COMPLETE
3,3.687581430305727,2026-05-26 02:37:21.703562,2026-05-26 03:36:30.605980,0 days 00:59:08.902418,256,100000,1.3957956700618,0.001,0.965103676337734,1,0.0012694902219599024,5000,4,1,512,256,512.0,512.0,1024,512,256.0,512.0,3,0.009237177101041926,1,150,1,True,results_sac_model1/optuna_phase2/trial_3.yaml,COMPLETE
4,1.512145642118412,2026-05-26 03:36:30.609770,2026-05-26 04:22:53.459356,0 days 00:46:22.849586,512,1000000,1.3566303363380925,0.01,0.9790312227177107,4,0.00017470956128610494,10000,2,5,128,128,,,64,512,,,3,0.01271361987471578,4,150,1,False,results_sac_model1/optuna_phase2/trial_4.yaml,COMPLETE
5,20.468776041976525,2026-05-26 04:22:53.461502,2026-05-26 05:22:07.582669,0 days 00:59:14.121167,512,500000,0.8498320539221603,0.1,0.9171469851210915,4,0.00014888364300159947,1000,3,3,256,1024,512.0,,128,64,64.0,,5,0.005458847204522432,4,150,4,True,results_sac_model1/optuna_phase2/trial_5.yaml,COMPLETE
6,11.432568346353946,2026-05-26 05:22:07.585984,2026-05-26 06:33:23.856069,0 days 01:11:16.270085,128,500000,1.3440028411492058,0.1,0.9665793271516268,8,6.518413863813437e-05,1000,4,3,128,128,512.0,512.0,1024,512,1024.0,64.0,2,0.018978494465076153,4,200,2,False,results_sac_model1/optuna_phase2/trial_6.yaml,COMPLETE
7,3.458859073856729,2026-05-26 06:33:23.860517,2026-05-26 07:49:38.300613,0 days 01:16:14.440096,512,500000,1.0635243568146349,0.1,0.9578471168803869,1,0.00035853987170714224,5000,3,3,64,1024,128.0,,512,256,64.0,,2,0.03396568901837499,8,300,4,True,results_sac_model1/optuna_phase2/trial_7.yaml,COMPLETE
8,-5.508439070501481,2026-05-26 07:49:38.304337,2026-05-26 09:00:11.619241,0 days 01:10:33.314904,1024,1000000,0.9273160590794014,0.001,0.9697038970418231,1,0.0003440186396263576,10000,4,5,512,64,256.0,128.0,128,512,256.0,64.0,5,0.0023004866767875843,8,150,4,True,results_sac_model1/optuna_phase2/trial_8.yaml,COMPLETE
9,4.241689076647162,2026-05-26 09:00:11.622413,2026-05-26 10:20:42.870305,0 days 01:20:31.247892,256,500000,0.9305969168359141,auto,0.9527291093790473,8,0.0001283200982556771,1000,4,10,128,128,1024.0,1024.0,64,1024,256.0,128.0,2,0.0025819635835541655,1,150,1,True,results_sac_model1/optuna_phase2/trial_9.yaml,COMPLETE
10,-10.649685808821232,2026-05-26 10:20:42.872059,2026-05-26 11:30:13.459485,0 days 01:09:30.587426,1024,100000,1.2082592403412016,0.01,0.9962944568381917,4,1.2471739064851727e-05,1000,2,1,256,512,,,512,1024,,,6,0.005838997185321733,1,300,4,False,results_sac_model1/optuna_phase2/trial_10.yaml,COMPLETE
