number,value,datetime_start,datetime_complete,duration,params_bs,params_buf,params_gamma,params_gs,params_lr,params_lstarts,params_n_layers,params_noise_sigma,params_noise_type,params_pd,params_pi_l0,params_pi_l1,params_pi_l2,params_pi_l3,params_qf_l0,params_qf_l1,params_qf_l2,params_qf_l3,params_tau,params_tf,params_tnc,params_tpn,state
0,6.375611619150732,2026-05-24 21:38:50.146286,2026-05-24 22:23:52.769961,0 days 00:45:02.623675,128,100000,0.9064401077055427,4,2.644898018392709e-05,10000,3,0.13819228808861533,normal,1,64,128,64.0,,1024,1024,1024.0,,0.04093813608598782,4,0.7185299851677596,0.4579309401710595,COMPLETE
1,-0.569369086122606,2026-05-24 22:23:52.772580,2026-05-24 22:52:34.919132,0 days 00:28:42.146552,128,1000000,0.9854472391616838,4,1.936518766909304e-05,10000,2,0.16218150311699372,ou,2,512,512,,,64,256,,,0.011454201562599395,8,0.5200491867534287,0.3545641645055122,COMPLETE
2,-14.100647644713035,2026-05-24 22:52:34.921886,2026-05-24 23:27:08.973842,0 days 00:34:34.051956,128,1000000,0.9359993306355501,4,0.0005513954848805307,1000,3,0.29109860783364133,ou,2,64,64,1024.0,,1024,64,256.0,,0.04477427984113197,1,0.5574481929034772,0.3912865394447439,COMPLETE
3,0.22839215898420662,2026-05-24 23:27:08.977482,2026-05-24 23:56:21.710864,0 days 00:29:12.733382,1024,100000,0.9809049978199204,8,0.00043138049872830825,10000,2,0.36135283896171194,ou,1,64,64,,,512,256,,,0.008775452610882301,1,0.30354310869235307,0.3654007076432223,COMPLETE
4,-4.237871940626064,2026-05-24 23:56:21.713344,2026-05-25 00:19:28.763473,0 days 00:23:07.050129,256,1000000,0.901530205036358,8,8.259009849110666e-05,10000,3,0.18211632991902205,normal,3,1024,128,512.0,,64,256,512.0,,0.03777334039373524,1,0.7879110186966876,0.39630744710168175,COMPLETE
5,-19.46002610695416,2026-05-25 00:19:28.769958,2026-05-25 00:47:14.567113,0 days 00:27:45.797155,128,1000000,0.9025097235981303,1,1.5643933810778685e-05,1000,4,0.36664603672101065,ou,2,256,1024,512.0,512.0,128,64,1024.0,256.0,0.043202689245205685,1,0.3322018494152269,0.1464290562027665,COMPLETE
6,-17.96312461385969,2026-05-25 00:47:14.570675,2026-05-25 01:11:45.059293,0 days 00:24:30.488618,256,100000,0.9099770221363652,1,1.4853074269608514e-05,10000,3,0.4688407965216041,normal,3,128,256,256.0,,1024,256,256.0,,0.0010738863822479564,4,0.5604126600549482,0.26504707076457057,COMPLETE
7,-17.251995007918595,2026-05-25 01:11:45.062281,2026-05-25 01:44:33.778944,0 days 00:32:48.716663,256,1000000,0.9699179804884931,1,0.0010860430013475597,1000,4,0.3125159442937218,ou,2,1024,512,1024.0,64.0,512,512,64.0,512.0,0.0013747038159517234,1,0.3822683727439734,0.14752716650722877,COMPLETE
8,-2.922966562327929,2026-05-25 01:44:33.782899,2026-05-25 02:14:39.415246,0 days 00:30:05.632347,128,100000,0.9901817912648904,4,2.5282608333658264e-05,10000,4,0.4998729529787588,normal,1,1024,128,64.0,128.0,512,128,1024.0,512.0,0.024972734685483382,1,0.33946284765564894,0.20936282877228252,COMPLETE
9,4.357794437426492,2026-05-25 02:14:39.418212,2026-05-25 02:41:25.303551,0 days 00:26:45.885339,256,500000,0.9853740071659278,8,0.0003475235079419189,5000,4,0.0683908773199155,ou,3,256,256,64.0,512.0,128,64,256.0,64.0,0.04103997221653117,4,0.767290416964719,0.28958465610514894,COMPLETE
10,-3.6235815597437977,2026-05-25 02:41:25.306498,2026-05-25 03:07:51.620180,0 days 00:26:26.313682,512,500000,0.9255347683075477,4,8.75047795161457e-05,5000,2,0.05638650363117326,normal,1,64,128,,,256,1024,,,0.016747967963595876,4,0.9548933132569972,0.4975616548305801,COMPLETE
11,0.9885470437584445,2026-05-25 03:07:51.622784,2026-05-25 03:32:48.425932,0 days 00:24:56.803148,1024,500000,0.9592003326884481,8,0.0025724734062929208,5000,3,0.05337341764601272,normal,3,256,256,64.0,,128,1024,128.0,,0.016204249807206632,4,0.7512715796876599,0.298834157444341,COMPLETE
12,2.531581165550506,2026-05-25 03:32:48.428825,2026-05-25 04:00:30.748602,0 days 00:27:42.319777,512,500000,0.9508722363499911,8,0.0001741448623730821,5000,4,0.13236485128269812,normal,3,256,256,128.0,512.0,1024,1024,256.0,64.0,0.02420829452468093,4,0.7317426943349755,0.48980869779369135,COMPLETE
13,0.8770888897997793,2026-05-25 04:00:30.750444,2026-05-25 04:35:20.955001,0 days 00:34:50.204557,256,500000,0.9988260625972104,4,4.238870992992018e-05,5000,3,0.20740575418850768,ou,1,512,1024,64.0,,128,64,1024.0,,0.0035014473580334093,4,0.853308078928068,0.23625743130359297,COMPLETE
