trial,value,best_so_far,phase
0,4.390025866247015,4.390025866247015,Phase2
1,2.508709585526958,4.390025866247015,Phase2
2,-8.394365145621123,4.390025866247015,Phase2
3,25.26281257113442,25.26281257113442,Phase2
4,18.890203519666102,25.26281257113442,Phase2
5,-18.127389253873844,25.26281257113442,Phase2
6,47.097890110733715,47.097890110733715,Phase2
7,-19.33648714714218,47.097890110733715,Phase2
8,-0.5585441160583287,47.097890110733715,Phase2
9,-9.674565147637622,47.097890110733715,Phase2
10,23.557942996441852,47.097890110733715,Phase2
11,18.191913533286424,47.097890110733715,Phase2
12,-1.3745851058047265,47.097890110733715,Phase2
13,29.8432954485761,47.097890110733715,Phase2
14,27.611892533954233,47.097890110733715,Phase2
15,27.06851687002927,47.097890110733715,Phase2
16,22.47934050830372,47.097890110733715,Phase2
17,24.34189879987389,47.097890110733715,Phase2
18,21.671795353875495,47.097890110733715,Phase2
19,10.648639223561986,47.097890110733715,Phase2
20,37.75527270983366,47.097890110733715,Phase2
21,45.15872975867569,47.097890110733715,Phase2
22,45.90728529291954,47.097890110733715,Phase2
23,39.69202076936911,47.097890110733715,Phase2
24,38.907210597418725,47.097890110733715,Phase2
25,8.091765689023305,47.097890110733715,Phase2
26,18.898091318143997,47.097890110733715,Phase2
27,18.774156633066013,47.097890110733715,Phase2
28,12.658679009473417,47.097890110733715,Phase2
29,8.776156680018175,47.097890110733715,Phase2
