number,value,datetime_start,datetime_complete,duration,params_bs,params_buf,params_discharge_price_factor,params_gamma,params_gs,params_lr,params_lstarts,params_n_layers,params_noise_sigma,params_noise_type,params_pd,params_pi_l0,params_pi_l1,params_pi_l2,params_pi_l3,params_qf_l0,params_qf_l1,params_qf_l2,params_qf_l3,params_spawn_multiplier,params_tau,params_tf,params_tnc,params_tpn,params_transformer_max_power,user_attrs_yaml_path,state
0,4.390025866247015,2026-05-25 14:09:43.157830,2026-05-25 14:45:01.861141,0 days 00:35:18.703311,128,100000,1.027731231534285,0.9064401077055427,4,2.644898018392709e-05,10000,3,0.13819228808861533,normal,1,64,128,64.0,,1024,1024,1024.0,,2,0.04093813608598782,4,0.7185299851677596,0.4579309401710595,150,results_td3_model1/optuna_phase2/trial_0.yaml,COMPLETE
1,2.508709585526958,2026-05-25 14:45:01.864622,2026-05-25 15:17:45.874631,0 days 00:32:44.010009,1024,1000000,1.0028260170396377,0.9062922766783164,4,6.601984958164861e-05,10000,2,0.1529591744712301,ou,1,64,256,,,128,512,,,2,0.0033755895712060846,4,0.4745045604042124,0.4630265895704372,100,results_td3_model1/optuna_phase2/trial_1.yaml,COMPLETE
2,-8.394365145621123,2026-05-25 15:17:45.877187,2026-05-25 15:54:34.182162,0 days 00:36:48.304975,256,1000000,0.8794314648684124,0.9975793949569495,4,0.00016309244205756727,10000,4,0.11188442486569697,ou,3,256,512,1024.0,128.0,128,128,512.0,256.0,3,0.002577772852685676,1,0.7836564166717261,0.16974657160199658,300,results_td3_model1/optuna_phase2/trial_2.yaml,COMPLETE
3,25.26281257113442,2026-05-25 15:54:34.185090,2026-05-25 16:31:11.608327,0 days 00:36:37.423237,256,500000,1.3957956700618,0.9241549746945293,4,4.53877257250326e-05,5000,4,0.18250200143131357,normal,3,256,512,512.0,1024.0,512,256,512.0,64.0,3,0.044989974439518646,4,0.9766583733305687,0.2712736593269257,150,results_td3_model1/optuna_phase2/trial_3.yaml,COMPLETE
4,18.890203519666102,2026-05-25 16:31:11.611944,2026-05-25 16:59:19.722862,0 days 00:28:08.110918,512,1000000,1.2462009310487445,0.9790312227177107,4,0.00017470956128610494,10000,2,0.2891095842056666,normal,3,128,128,,,64,512,,,4,0.01271361987471578,4,0.7360233330733001,0.1863284109987373,250,results_td3_model1/optuna_phase2/trial_4.yaml,COMPLETE
5,-18.127389253873844,2026-05-25 16:59:19.725161,2026-05-25 17:27:55.155044,0 days 00:28:35.429883,512,1000000,0.8498320539221603,0.9044850969674324,8,0.0003742863434150556,10000,4,0.09249933234016777,normal,2,256,256,1024.0,512.0,128,64,64.0,1024.0,5,0.004329677966181862,8,0.3485529106126158,0.1783164539157186,150,results_td3_model1/optuna_phase2/trial_5.yaml,COMPLETE
6,47.097890110733715,2026-05-25 17:27:55.157687,2026-05-25 17:57:50.547783,0 days 00:29:55.390096,128,500000,1.4630740041687011,0.9665793271516268,8,6.518413863813437e-05,1000,4,0.2167889661801009,normal,2,128,128,512.0,512.0,1024,512,1024.0,64.0,6,0.018978494465076153,4,0.35938639985963433,0.13253951225675992,300,results_td3_model1/optuna_phase2/trial_6.yaml,COMPLETE
7,-19.33648714714218,2026-05-25 17:57:50.551065,2026-05-25 18:25:23.897635,0 days 00:27:33.346570,128,500000,1.0635243568146349,0.9881361146052007,8,0.0022609163158429113,5000,4,0.07034840154778524,normal,2,256,64,1024.0,128.0,512,256,64.0,256.0,2,0.005944935612037232,8,0.5927701254034332,0.345366078374316,300,results_td3_model1/optuna_phase2/trial_7.yaml,COMPLETE
8,-0.5585441160583287,2026-05-25 18:25:23.900842,2026-05-25 19:01:32.013460,0 days 00:36:08.112618,1024,1000000,0.8902158053374545,0.9697038970418231,1,0.0003440186396263576,10000,4,0.1580655284501869,ou,1,512,64,256.0,128.0,128,512,256.0,64.0,2,0.0023004866767875843,8,0.6448326657950088,0.49201303011419084,100,results_td3_model1/optuna_phase2/trial_8.yaml,COMPLETE
9,-9.674565147637622,2026-05-25 19:01:32.015173,2026-05-25 19:25:21.714610,0 days 00:23:49.699437,512,500000,0.9884702616645666,0.9791416294919952,4,1.2513561638313206e-05,10000,2,0.2896777699047604,ou,3,1024,128,,,128,1024,,,3,0.011662292440045782,4,0.672479439685721,0.30467097684626643,150,results_td3_model1/optuna_phase2/trial_9.yaml,COMPLETE
