number,value,datetime_start,datetime_complete,duration,params_bs,params_buf,params_ent,params_gamma,params_gs,params_lr,params_lstarts,params_n_steps,params_nc,params_nq,params_pi_l0,params_pi_l1,params_pi_l2,params_pi_l3,params_pi_layers,params_qf_l0,params_qf_l1,params_qf_l2,params_qf_l3,params_qf_layers,params_tau,params_tf,params_tqdrop,params_tui,params_use_sde,state
0,3.356192413034023,2026-05-24 21:39:00.821405,2026-05-24 23:24:34.710957,0 days 01:45:33.889552,1024,500000,0.001,0.9677390696247036,8,1.7456037635797413e-05,5000,3,5,50,64,1024,64.0,,3,512,512,512.0,256.0,4,0.005595074635794793,1,2,4,True,COMPLETE
1,-0.38350192093639635,2026-05-24 23:24:34.712075,2026-05-25 00:20:45.854747,0 days 00:56:11.142672,256,100000,0.01,0.9076210110730505,8,3.687744286155103e-05,1000,10,5,25,256,512,64.0,128.0,4,512,128,,,2,0.0031065548585819088,1,3,1,False,COMPLETE
2,2.0620959221269004,2026-05-25 00:20:45.856312,2026-05-25 01:08:50.596735,0 days 00:48:04.740423,256,500000,auto,0.9172622764714942,8,0.00039643430816069464,10000,5,2,25,128,64,64.0,,3,128,128,,,2,0.014923905552517549,1,4,1,True,COMPLETE
3,12.221608986525098,2026-05-25 01:08:50.600391,2026-05-25 02:10:52.175887,0 days 01:02:01.575496,128,100000,0.01,0.9423902306834141,1,0.0019932310438786956,5000,1,5,25,1024,64,,,2,128,64,64.0,128.0,4,0.04388514545104971,8,4,4,False,COMPLETE
4,11.85991937145965,2026-05-25 02:10:52.177225,2026-05-25 03:06:07.257323,0 days 00:55:15.080098,128,1000000,auto,0.9025097235981303,1,1.5643933810778685e-05,1000,1,5,50,512,128,64.0,,3,1024,256,,,2,0.043202689245205685,1,1,1,False,COMPLETE
5,3.955868589473539,2026-05-25 03:06:07.258859,2026-05-25 04:13:07.678525,0 days 01:07:00.419666,128,500000,0.001,0.974310860412445,8,2.7513083443503713e-05,10000,10,5,100,64,128,1024.0,,3,64,1024,128.0,128.0,4,0.02348486242793141,4,1,2,True,COMPLETE
6,0.2856934973524403,2026-05-25 04:13:07.682413,2026-05-25 05:44:49.094351,0 days 01:31:41.411938,1024,500000,0.01,0.9952550822989796,8,0.0002786603430116133,10000,3,5,50,512,1024,512.0,,3,512,256,64.0,1024.0,4,0.004334049529411598,8,5,1,True,COMPLETE
7,18.575099690399497,2026-05-25 05:44:49.096649,2026-05-25 07:00:22.659572,0 days 01:15:33.562923,1024,1000000,0.01,0.9935318072583603,4,0.0008032950129298991,1000,5,3,50,1024,512,,,2,1024,512,64.0,256.0,4,0.02776677435509802,8,1,1,False,COMPLETE
8,-13.623237664534827,2026-05-25 07:00:22.661514,2026-05-25 07:57:44.525902,0 days 00:57:21.864388,512,500000,auto,0.9791416294919952,4,1.2513561638313206e-05,10000,1,2,100,64,128,64.0,,3,1024,128,128.0,1024.0,4,0.011662292440045782,4,3,1,True,COMPLETE
9,9.593533702401572,2026-05-25 07:57:44.529049,2026-05-25 08:41:06.748320,0 days 00:43:22.219271,128,500000,auto,0.9393877043055284,1,1.8946716024675472e-05,10000,1,3,25,256,256,64.0,,3,512,1024,,,2,0.04437120123039812,8,1,1,False,COMPLETE
