number,value,datetime_start,datetime_complete,duration,params_bs,params_buf,params_discharge_price_factor,params_ent,params_gamma,params_gs,params_lr,params_lstarts,params_n_steps,params_nc,params_nq,params_pi_l0,params_pi_l1,params_pi_l2,params_pi_l3,params_pi_layers,params_qf_l0,params_qf_l1,params_qf_l2,params_qf_l3,params_qf_layers,params_spawn_multiplier,params_tau,params_tf,params_tqdrop,params_transformer_max_power,params_tui,params_use_sde,user_attrs_yaml_path,state
0,-1.6323124405462295,2026-05-26 06:41:45.109494,2026-05-26 08:41:57.593785,0 days 02:00:12.484291,1024,500000,0.8518312562138632,0.001,0.9677390696247036,8,1.7456037635797413e-05,5000,3,5,50,64,1024,64.0,,3,512,512,512.0,256.0,4,5,0.005595074635794793,1,2,150,4,True,results_tqc_model1/optuna_phase2/trial_0.yaml,COMPLETE
1,8.747943583817687,2026-05-26 08:41:57.595234,2026-05-26 09:50:41.108275,0 days 01:08:43.513041,256,100000,0.9676933234668808,auto,0.9920400675819148,1,2.5082145184394066e-05,1000,1,2,25,64,256,,,2,512,64,512.0,128.0,4,6,0.02360327600127809,8,2,100,4,True,results_tqc_model1/optuna_phase2/trial_1.yaml,COMPLETE
2,14.798228187463792,2026-05-26 09:50:41.112851,2026-05-26 12:00:07.011070,0 days 02:09:25.898219,1024,100000,1.356367912479154,auto,0.9888243600373794,4,1.7006966059793952e-05,1000,3,3,100,256,256,64.0,,3,64,512,256.0,128.0,4,5,0.03386751021623824,1,4,200,2,True,results_tqc_model1/optuna_phase2/trial_2.yaml,COMPLETE
3,28.581611519504804,2026-05-26 12:00:07.013340,2026-05-26 13:33:19.110672,0 days 01:33:12.097332,1024,1000000,1.308263933605863,0.001,0.9733360931576662,1,0.0014905943982528463,10000,10,5,50,128,256,512.0,,3,64,256,256.0,,3,5,0.015283007861169704,8,3,300,4,False,results_tqc_model1/optuna_phase2/trial_3.yaml,COMPLETE
4,-1.3982011213956866,2026-05-26 13:33:19.114288,2026-05-26 14:42:52.414967,0 days 01:09:33.300679,128,100000,1.27810474139145,0.01,0.9045542615601535,8,1.9387687229904063e-05,10000,1,5,25,64,64,512.0,,3,128,512,,,2,2,0.0011727272411645973,1,4,100,4,True,results_tqc_model1/optuna_phase2/trial_4.yaml,COMPLETE
5,40.93681391316932,2026-05-26 14:42:52.418583,2026-05-26 15:45:07.621850,0 days 01:02:15.203267,512,100000,1.3273647296812592,0.1,0.9896328156655071,8,1.0637661751590252e-05,10000,10,3,50,128,128,,,2,512,512,1024.0,512.0,4,6,0.0014292010469027041,1,1,150,4,False,results_tqc_model1/optuna_phase2/trial_5.yaml,COMPLETE
6,15.383903802605346,2026-05-26 15:45:07.624915,2026-05-26 16:57:21.308825,0 days 01:12:13.683910,256,100000,1.066623599641715,0.01,0.9449995654120096,8,0.0005289977994339992,1000,5,5,25,256,128,,,2,512,512,1024.0,256.0,4,4,0.011646685656494989,8,5,300,2,True,results_tqc_model1/optuna_phase2/trial_6.yaml,COMPLETE
7,13.136223448469536,2026-05-26 16:57:21.311012,2026-05-26 18:04:47.440059,0 days 01:07:26.129047,128,1000000,1.122545137622908,auto,0.9388321604648735,1,0.00028926616683428255,1000,3,3,25,1024,128,64.0,64.0,4,1024,1024,512.0,64.0,4,2,0.0055367736598949295,1,1,150,1,True,results_tqc_model1/optuna_phase2/trial_7.yaml,COMPLETE
8,31.400730467401445,2026-05-26 18:04:47.443493,2026-05-26 18:51:06.253220,0 days 00:46:18.809727,1024,1000000,1.4058549881257862,0.001,0.9019870485799949,8,8.601587656840973e-05,10000,3,2,25,256,128,64.0,,3,512,256,256.0,,3,6,0.00352535487632081,4,5,300,2,False,results_tqc_model1/optuna_phase2/trial_8.yaml,COMPLETE
9,20.808886004695523,2026-05-26 18:51:06.254917,2026-05-26 19:38:02.106747,0 days 00:46:55.851830,256,100000,1.1519042730647353,0.001,0.906274122076804,4,2.152590668096769e-05,10000,5,3,50,128,64,,,2,256,256,,,2,5,0.048074274654372584,4,5,150,4,False,results_tqc_model1/optuna_phase2/trial_9.yaml,COMPLETE
