trial,value,best_so_far,phase
0,-1.5182817801978672,-1.5182817801978672,Phase1
1,-5.670607177977217,-1.5182817801978672,Phase1
2,-2.6196578562958166,-1.5182817801978672,Phase1
3,6.074269325470596,6.074269325470596,Phase1
4,-9.38534220389556,6.074269325470596,Phase1
5,-4.239375574714359,6.074269325470596,Phase1
6,-6.277080913831014,6.074269325470596,Phase1
7,-10.247424856061116,6.074269325470596,Phase1
8,-8.554486677632667,6.074269325470596,Phase1
9,-11.194786404026672,6.074269325470596,Phase1
10,5.749014932021964,6.074269325470596,Phase1
11,6.02167539979564,6.074269325470596,Phase1
12,7.668737732805312,7.668737732805312,Phase1
13,2.430762192234397,7.668737732805312,Phase1
14,6.67071623983793,7.668737732805312,Phase1
15,-5.672208118179697,7.668737732805312,Phase1
16,-10.15462205457152,7.668737732805312,Phase1
17,7.189786316041136,7.668737732805312,Phase1
18,-15.056917254376458,7.668737732805312,Phase1
19,-0.1354039512807503,7.668737732805312,Phase1
20,6.904032363687293,7.668737732805312,Phase1
21,6.855529129417846,7.668737732805312,Phase1
22,8.31522451841738,8.31522451841738,Phase1
23,7.835953641828382,8.31522451841738,Phase1
24,7.410429740324616,8.31522451841738,Phase1
25,6.085893188370392,8.31522451841738,Phase1
26,7.361855679482687,8.31522451841738,Phase1
27,6.444471252470976,8.31522451841738,Phase1
28,-3.4985911059193318,8.31522451841738,Phase1
29,-3.467646706383676,8.31522451841738,Phase1
0,6.330284852156183,6.330284852156183,Phase2
1,1.0289321729214862,6.330284852156183,Phase2
2,-15.830893625028466,6.330284852156183,Phase2
3,-11.999726729642134,6.330284852156183,Phase2
4,11.253157066646963,11.253157066646963,Phase2
5,6.614190867403522,11.253157066646963,Phase2
6,2.764176364985964,11.253157066646963,Phase2
7,19.06973331293557,19.06973331293557,Phase2
8,10.74599782167934,19.06973331293557,Phase2
9,6.436444619583199,19.06973331293557,Phase2
10,7.537624284367723,19.06973331293557,Phase2
11,-7.60154124024848,19.06973331293557,Phase2
12,-13.581327307387255,19.06973331293557,Phase2
13,17.230488370580133,19.06973331293557,Phase2
14,17.37897144840099,19.06973331293557,Phase2
15,-18.35048917698441,19.06973331293557,Phase2
16,17.384517233469523,19.06973331293557,Phase2
17,-5.660262425197288,19.06973331293557,Phase2
18,28.34234775765799,28.34234775765799,Phase2
19,-8.77432874700753,28.34234775765799,Phase2
20,-13.758012848917588,28.34234775765799,Phase2
21,26.027822736359667,28.34234775765799,Phase2
22,24.108031538373325,28.34234775765799,Phase2
23,6.100338076808839,28.34234775765799,Phase2
24,22.583709460108366,28.34234775765799,Phase2
25,-14.39937684841425,28.34234775765799,Phase2
26,-15.43025230348576,28.34234775765799,Phase2
27,17.555562076711794,28.34234775765799,Phase2
28,6.166756395847187,28.34234775765799,Phase2
29,2.6635779958742205,28.34234775765799,Phase2
