number,value,datetime_start,datetime_complete,duration,params_bs,params_cg,params_gae_lambda,params_gamma,params_lr,params_n_layers,params_n_steps,params_ncu,params_pi_l0,params_pi_l1,params_pi_l2,params_pi_l3,params_ssf,params_target_kl,params_vf_l0,params_vf_l1,params_vf_l2,params_vf_l3,state
0,-1.5182817801978672,2026-05-24 21:39:13.716678,2026-05-24 21:55:44.936741,0 days 00:16:31.220063,64,10,0.99393966818808,0.9197677044336776,0.0008810003129071785,3,1024,5,64,256,256.0,,4,0.043709904681305034,512,512,512.0,,COMPLETE
1,-5.670607177977217,2026-05-24 21:55:44.940947,2026-05-24 22:13:36.803630,0 days 00:17:51.862683,128,20,0.9977018067234512,0.982045013406041,4.700720768446124e-05,2,2048,20,64,128,,,2,0.020512599422151365,256,512,,,COMPLETE
2,-2.6196578562958166,2026-05-24 22:13:36.805703,2026-05-24 22:29:04.320694,0 days 00:15:27.514991,64,20,0.9887130386924259,0.9627069718945319,0.0010041813901025356,4,512,10,64,512,512.0,128.0,1,0.003469591660330289,64,512,256.0,512.0,COMPLETE
3,6.0742693254705955,2026-05-24 22:29:04.322435,2026-05-24 22:41:53.802821,0 days 00:12:49.480386,64,10,0.975400341917543,0.9899183227106987,4.900507735987361e-05,2,2048,5,128,256,,,1,0.0025336058850767753,128,128,,,COMPLETE
4,-9.385342203895561,2026-05-24 22:41:53.805344,2026-05-24 22:53:50.167039,0 days 00:11:56.361695,256,20,0.9626770442700535,0.9809049978199204,0.00043138049872830825,2,512,5,128,512,,,4,0.003767050528609562,128,128,,,COMPLETE
5,-4.239375574714359,2026-05-24 22:53:50.168827,2026-05-24 23:06:27.379822,0 days 00:12:37.210995,128,20,0.9024072806767139,0.9786863190506232,0.0003659374902089003,3,1024,5,256,256,128.0,,4,0.012492175283159117,256,64,128.0,,COMPLETE
6,-6.277080913831014,2026-05-24 23:06:27.381301,2026-05-24 23:21:23.742525,0 days 00:14:56.361224,128,15,0.9584924927963321,0.9371827123113545,6.874719564953523e-05,4,1024,20,64,512,64.0,64.0,2,0.0011267277996879668,64,512,64.0,512.0,COMPLETE
7,-10.247424856061116,2026-05-24 23:21:23.743663,2026-05-24 23:31:42.625915,0 days 00:10:18.882252,256,10,0.9730517947528811,0.9154872672244375,2.6870208945807002e-05,2,2048,10,512,64,,,1,0.008746431657116676,128,64,,,COMPLETE
8,-8.554486677632667,2026-05-24 23:31:42.627329,2026-05-24 23:41:36.820355,0 days 00:09:54.193026,256,20,0.9023039216378468,0.9099770221363652,1.4853074269608514e-05,4,2048,10,64,64,128.0,256.0,1,0.024196776966344636,256,128,512.0,128.0,COMPLETE
9,-11.194786404026672,2026-05-24 23:41:36.822231,2026-05-24 23:51:55.453934,0 days 00:10:18.631703,128,10,0.911589634626333,0.9090294042018203,0.0009036076200388383,4,2048,10,128,256,256.0,64.0,1,0.0017495992291179066,512,512,128.0,512.0,COMPLETE
10,5.749014932021964,2026-05-24 23:51:55.456916,2026-05-25 00:01:51.005673,0 days 00:09:55.548757,64,15,0.9375808200986021,0.9963176135856233,0.00014083034760643497,2,2048,5,128,128,,,1,0.004993860696670817,128,256,,,COMPLETE
11,6.02167539979564,2026-05-25 00:01:51.007399,2026-05-25 00:11:16.390705,0 days 00:09:25.383306,64,15,0.9382585045661668,0.9960443571482321,0.00014140371724634602,2,2048,5,128,128,,,1,0.0040582944711475355,128,256,,,COMPLETE
12,7.668737732805312,2026-05-25 00:11:16.392910,2026-05-25 00:20:12.450322,0 days 00:08:56.057412,64,15,0.9411871152248223,0.9976210794836649,0.00011827238994742874,3,2048,5,128,128,512.0,,1,0.0024644105518425307,128,256,256.0,,COMPLETE
