number,value,datetime_start,datetime_complete,duration,params_bs,params_cg,params_discharge_price_factor,params_gae_lambda,params_gamma,params_lr,params_n_layers,params_n_steps,params_ncu,params_pi_l0,params_pi_l1,params_pi_l2,params_pi_l3,params_spawn_multiplier,params_ssf,params_target_kl,params_transformer_max_power,params_vf_l0,params_vf_l1,params_vf_l2,params_vf_l3,user_attrs_yaml_path,state
0,6.330284852156183,2026-05-25 03:16:57.292124,2026-05-25 03:27:19.337172,0 days 00:10:22.045048,64,10,1.2637655990477874,0.99393966818808,0.9197677044336776,0.0008810003129071785,3,1024,5,64,256,256.0,,3,4,0.043709904681305034,150,512,512,512.0,,results_trpo_model1/optuna_phase2/trial_0.yaml,COMPLETE
1,1.0289321729214862,2026-05-25 03:27:19.338950,2026-05-25 03:38:03.785671,0 days 00:10:44.446721,128,10,1.3325495340318283,0.9854472391616838,0.9807306814170286,1.0319982330247679e-05,3,2048,10,256,64,512.0,,5,1,0.011454201562599395,200,256,512,128.0,,results_trpo_model1/optuna_phase2/trial_1.yaml,COMPLETE
2,-15.830893625028466,2026-05-25 03:38:03.786781,2026-05-25 03:48:48.678487,0 days 00:10:44.891706,256,20,1.1518753162602031,0.9319970902700547,0.9006882609225879,0.0013556076855136886,4,512,5,128,256,128.0,64.0,5,1,0.007610438922351129,100,128,512,256.0,512.0,results_trpo_model1/optuna_phase2/trial_2.yaml,COMPLETE
3,-11.999726729642134,2026-05-25 03:48:48.679678,2026-05-25 04:00:07.930594,0 days 00:11:19.250916,128,20,1.3720555401408512,0.9638721062505355,0.9184653325295856,6.231765707605574e-05,2,2048,10,64,64,,,5,1,0.0019780776349405255,200,128,512,,,results_trpo_model1/optuna_phase2/trial_3.yaml,COMPLETE
4,11.253157066646963,2026-05-25 04:00:07.933789,2026-05-25 04:10:44.868838,0 days 00:10:36.935049,128,10,1.1447623856732048,0.9562625517302117,0.9705057429134061,3.593703753553798e-05,3,2048,5,512,512,64.0,,4,2,0.0014426155883642529,100,256,256,256.0,,results_trpo_model1/optuna_phase2/trial_4.yaml,COMPLETE
5,6.614190867403522,2026-05-25 04:10:44.871192,2026-05-25 04:24:10.358568,0 days 00:13:25.487376,64,20,1.0005788764897992,0.9790312227177107,0.9290655925821849,7.771469941298163e-05,4,2048,10,256,128,512.0,64.0,4,1,0.01271361987471578,200,64,64,128.0,64.0,results_trpo_model1/optuna_phase2/trial_5.yaml,COMPLETE
6,2.764176364985964,2026-05-25 04:24:10.360024,2026-05-25 04:36:30.266215,0 days 00:12:19.906191,128,20,1.2282045223640465,0.9689014464032761,0.9787234332821017,6.30960749162859e-05,2,1024,10,128,128,,,4,2,0.004952206954861375,200,512,256,,,results_trpo_model1/optuna_phase2/trial_6.yaml,COMPLETE
7,19.06973331293557,2026-05-25 04:36:30.267793,2026-05-25 04:52:52.659132,0 days 00:16:22.391339,64,20,1.4728333946767398,0.9069863059926426,0.9044850969674324,0.0003742863434150556,2,1024,20,128,256,,,3,4,0.012343862740578632,300,256,512,,,results_trpo_model1/optuna_phase2/trial_7.yaml,COMPLETE
8,10.745997821679339,2026-05-25 04:52:52.666355,2026-05-25 05:07:35.177009,0 days 00:14:42.510654,64,10,1.4268662599473403,0.9768648831134576,0.9279214226845593,0.0009779568441679821,2,2048,10,128,512,,,3,1,0.0037932807951621614,150,128,256,,,results_trpo_model1/optuna_phase2/trial_8.yaml,COMPLETE
9,6.436444619583199,2026-05-25 05:07:35.178673,2026-05-25 05:19:50.677504,0 days 00:12:15.498831,256,15,1.3689596970802518,0.9612035882683099,0.9544033593500498,1.3886091666077124e-05,2,1024,5,512,64,,,3,2,0.001485266526630739,300,512,64,,,results_trpo_model1/optuna_phase2/trial_9.yaml,COMPLETE
